#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000            -4.78853949e+06  8.65405594e+05 -1.83330540e+04  0.00000000e+00  0.00000000e+00 -5.63561203e+06 -5.31853673e+06  2.84237214e+04 -7.91270722e+05  1.07644713e+02  9.65987900e+02  8.61546852e+02  8.96108343e-02 -4.09856843e+01  3.35414348e+04  4.37052437e+01
20000            -4.84418273e+06  8.77217431e+05 -1.84746128e+04  0.00000000e+00  0.00000000e+00 -5.70292554e+06 -5.38515909e+06  2.86239905e+04 -9.32814700e+05 -8.35993959e+01  9.68483300e+02  8.65960169e+02 -7.01447630e-02 -4.17322482e+01  3.34567438e+04  4.40517920e+01
30000            -4.87273455e+06  8.89273465e+05 -1.86361149e+04  0.00000000e+00  0.00000000e+00 -5.74337190e+06 -5.42512860e+06  2.91394853e+04 -7.45547528e+05  1.78835021e+02  9.71260800e+02  8.71032564e+02  1.47422050e-01 -4.13471824e+01  3.33573151e+04  4.42082586e+01
40000            -4.85923308e+06  8.90343388e+05 -1.85286547e+04  0.00000000e+00  0.00000000e+00 -5.73104781e+06 -5.41277604e+06  2.79956794e+04 -9.01708669e+05 -3.98992618e+01  9.68145400e+02  8.68794196e+02 -3.48897766e-02 -4.18202416e+01  3.33362153e+04  4.42276028e+01
50000            -4.91482625e+06  8.98920917e+05 -1.88723982e+04  0.00000000e+00  0.00000000e+00 -5.79487477e+06 -5.47410025e+06  2.74512905e+04 -9.08155370e+05 -4.44953268e+01  9.73622500e+02  8.79934431e+02 -3.67553890e-02 -4.20552377e+01  3.30999034e+04  4.44576580e+01
60000            -4.96438570e+06  9.12107606e+05 -1.91114270e+04  0.00000000e+00  0.00000000e+00 -5.85738187e+06 -5.53539809e+06  2.80310806e+04 -8.06363156e+05  1.04581983e+02  9.78623600e+02  8.86530100e+02  8.44007167e-02 -4.19419153e+01  3.30224524e+04  4.46469691e+01
70000            -5.03054296e+06  9.26488711e+05 -1.94331244e+04  0.00000000e+00  0.00000000e+00 -5.93759855e+06 -5.61198970e+06  2.56899226e+04 -8.52258928e+05  4.49218134e+01  9.82213800e+02  8.98151768e+02  3.53421032e-02 -4.24688026e+01  3.27153708e+04  4.50513383e+01
80000            -5.06811443e+06  9.26919506e+05 -1.96414153e+04  0.00000000e+00  0.00000000e+00 -5.97539252e+06 -5.64678030e+06  2.40625952e+04 -9.13208081e+05 -3.52376105e+01  9.86062900e+02  9.04242254e+02 -2.89477542e-02 -4.28094996e+01  3.26217439e+04  4.52295151e+01
90000            -5.07153494e+06  9.28506225e+05 -1.97000190e+04  0.00000000e+00  0.00000000e+00 -5.98034114e+06 -5.65491192e+06  2.62313544e+04 -8.46595677e+05  5.53768361e+01  9.83229800e+02  9.09551978e+02  4.31093075e-02 -4.27796251e+01  3.23386074e+04  4.53816469e+01
100000           -5.08902250e+06  9.42119857e+05 -1.96700746e+04  0.00000000e+00  0.00000000e+00 -6.01147228e+06 -5.68477689e+06  2.53339126e+04 -7.64592578e+05  1.72706331e+02  9.84259900e+02  9.07219211e+02  1.36973145e-01 -4.26453274e+01  3.24553097e+04  4.54819930e+01
