#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000             5.72256068e+05  2.53047627e+06 -1.56599348e+04  0.00000000e+00  0.00000000e+00 -1.94256026e+06 -1.76842253e+06  1.42723736e+05  4.49657000e+07  6.70481462e+04  8.85939300e+02  7.98991662e+02  5.42722014e+01  1.45475163e+02  3.32843489e+04 -7.61077835e+00
20000            -3.22365866e+06  4.52370099e+05 -1.36546527e+04  0.00000000e+00  0.00000000e+00 -3.66237410e+06 -3.40212610e+06  4.06810153e+04 -8.69786986e+05 -1.51797274e+02  8.41379400e+02  7.36574178e+02 -1.50233857e-01 -3.19943401e+01  3.41779466e+04  3.40471967e+01
30000            -3.60431530e+06  5.61260047e+05 -1.47032802e+04  0.00000000e+00  0.00000000e+00 -4.15087207e+06 -3.87647082e+06  3.36372579e+04 -7.97873304e+05 -3.15919574e+01  8.61249200e+02  7.74969359e+02 -3.03198846e-02 -3.47585532e+01  3.32475968e+04  3.70625899e+01
40000            -3.82647265e+06  6.16907279e+05 -1.54619344e+04  0.00000000e+00  0.00000000e+00 -4.42791800e+06 -4.14748931e+06  3.24510136e+04 -7.84086336e+05  3.84007090e+00  8.74783300e+02  8.02336888e+02  3.71456117e-03 -3.62601599e+01  3.26174862e+04  3.87393364e+01
50000            -4.02205720e+06  6.70837108e+05 -1.62372257e+04  0.00000000e+00  0.00000000e+00 -4.67665708e+06 -4.39115908e+06  3.23484627e+04 -6.06192095e+05  2.79169493e+02  8.88670000e+02  8.29373577e+02  2.40496019e-01 -3.69815646e+01  3.20560189e+04  4.00686140e+01
60000            -4.19359802e+06  6.98414704e+05 -1.68878135e+04  0.00000000e+00  0.00000000e+00 -4.87512491e+06 -4.58346968e+06  3.12737290e+04 -9.15848188e+05 -1.47317424e+02  9.02877100e+02  8.49076143e+02 -1.28474754e-01 -3.89089072e+01  3.18117040e+04  4.10837160e+01
70000            -4.32933972e+06  7.36052675e+05 -1.75778182e+04  0.00000000e+00  0.00000000e+00 -5.04781458e+06 -4.75135157e+06  3.14350353e+04 -7.42823007e+05  1.19684868e+02  9.16773200e+02  8.70370181e+02  9.92062678e-02 -3.89711205e+01  3.15103962e+04  4.17090085e+01
80000            -4.45068117e+06  7.66039201e+05 -1.81149819e+04  0.00000000e+00  0.00000000e+00 -5.19860539e+06 -4.89428121e+06  2.74811855e+04 -7.98443422e+05  5.44973552e+01  9.27702300e+02  8.86430407e+02  4.39384439e-02 -3.97620323e+01  3.13080632e+04  4.23652955e+01
90000            -4.51450213e+06  7.79065092e+05 -1.83478175e+04  0.00000000e+00  0.00000000e+00 -5.27521941e+06 -4.96905849e+06  2.67266609e+04 -7.96766201e+05  6.20232231e+01  9.30730300e+02  8.94902199e+02  4.85985649e-02 -4.01728774e+01  3.11128328e+04  4.27777551e+01
100000           -4.60631201e+06  8.07995542e+05 -1.87499762e+04  0.00000000e+00  0.00000000e+00 -5.39555757e+06 -5.08455692e+06  2.40297236e+04 -7.00907740e+05  2.13300600e+02  9.36724900e+02  9.08662496e+02  1.68370792e-01 -4.04402365e+01  3.08390130e+04  4.33229439e+01
