#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000            -3.92811298e+01  2.64225365e+01 -1.93164018e-02  0.00000000e+00  0.00000000e+00 -6.56843500e+01 -6.55572660e+01  3.44161315e+01 -5.95568594e-01  2.06658354e-02  5.87006000e+01  1.49259247e-02  9.99990698e-01  2.49429623e+00  1.17648047e+08  4.38146893e+01
20000            -4.62031318e+01 -2.72302785e+00 -1.74407340e-02  0.00000000e+00  0.00000000e+00 -4.34626632e+01 -4.35323811e+01  3.28850253e+01  1.55979367e+01  1.98268592e-02  5.57643000e+01  1.41792930e-02  1.00031426e+00  2.49588646e+00  1.17648148e+08  4.42058235e+01
30000            -1.21964345e-01 -3.86225128e-03 -1.37371581e-02  0.00000000e+00  0.00000000e+00 -1.04364935e-01 -5.57568051e-02  2.90870900e+01  4.52895511e+00  1.74639843e-02  4.95114000e+01  1.25893559e-02  1.00010065e+00  2.49483959e+00  1.17648154e+08  4.43400981e+01
40000            -3.62370437e+00 -2.18952636e-01 -1.20628594e-02  0.00000000e+00  0.00000000e+00 -3.39268888e+00 -3.29438731e+00  2.71866759e+01 -4.67365845e+01  1.63876714e-02  4.63664000e+01  1.17896708e-02  9.98922988e-01  2.48952393e+00  1.17648154e+08  4.46955222e+01
50000            -1.77861655e+03  1.71431083e+01 -1.19970147e-02  0.00000000e+00  0.00000000e+00 -1.79574766e+03 -1.79591238e+03  2.73937327e+01 -4.74555478e+03  1.44441366e-02  4.62713000e+01  1.17654831e-02  8.87327694e-01  1.91440251e+00  1.17648218e+08  4.43226586e+01
60000            -2.87865539e+03  5.36993114e+02 -9.98307221e-03  0.00000000e+00  0.00000000e+00 -3.41563852e+03 -3.41608726e+03  2.52551626e+01 -3.18378373e+03  1.36818146e-02  4.21545000e+01  1.07186924e-02  9.16712821e-01  1.71421234e+00  1.17648274e+08  4.41598024e+01
70000            -2.39668546e+02  7.02654493e+01 -8.11001150e-03  0.00000000e+00  0.00000000e+00 -3.09925885e+02 -3.09906070e+02  2.23627237e+01  5.05858652e+01  1.33980421e-02  3.80355000e+01  9.67132684e-03  1.00134580e+00  2.40303960e+00  1.17648525e+08  4.53093534e+01
80000             4.14889316e-01 -1.97876695e-02 -8.53304869e-03  0.00000000e+00  0.00000000e+00  4.43210034e-01  4.93642570e-01  2.29007397e+01  1.07107423e+01  1.37697007e-02  3.90018000e+01  9.91702470e-03  1.00030953e+00  2.49591281e+00  1.17648577e+08  4.54690793e+01
90000            -4.60975938e-01  0.00000000e+00 -7.65060981e-03  0.00000000e+00  0.00000000e+00 -4.53325328e-01 -3.44385222e-01  2.16357624e+01  9.98349406e+00  1.29948769e-02  3.69516000e+01  9.39571535e-03  1.00030094e+00  2.49580470e+00  1.17648614e+08  4.53272338e+01
100000           -9.41289915e-01 -2.03595382e-02 -6.80528826e-03  0.00000000e+00  0.00000000e+00 -9.14125088e-01 -9.36370278e-01  2.05315254e+01  1.86680924e+00  1.23228214e-02  3.48522000e+01  8.86189743e-03  1.00005940e+00  2.49463202e+00  1.17648637e+08  4.55017297e+01
