#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000            -2.10283966e+01 -2.51562352e+00 -6.39237091e-02  0.00000000e+00  0.00000000e+00 -1.84488494e+01 -1.78317936e+01  5.82762110e+01 -1.67748230e+02  3.33509542e-02  1.00079000e+02  2.54487839e-02  9.98593765e-01  2.48768856e+00  1.17642512e+08 -6.14277066e+00
20000            -4.98609907e+01 -1.69043205e+00 -9.52667795e-02  0.00000000e+00  0.00000000e+00 -4.80752918e+01 -4.84419361e+01  7.69034665e+01 -1.76096807e+02  4.62641516e-02  1.30061900e+02  3.30729312e-02  9.98614233e-01  2.48786073e+00  1.17641608e+08  3.36133848e+01
30000            -5.46122976e+00  0.00000000e+00 -7.15960435e-02  0.00000000e+00  0.00000000e+00 -5.38963372e+00 -5.04337283e+00  6.60861366e+01 -9.08349976e+00  4.00625503e-02  1.12891100e+02  2.87063339e-02  9.99919864e-01  2.49396477e+00  1.17642819e+08  3.67500988e+01
40000            -1.68764993e+00  0.00000000e+00 -4.69886074e-02  0.00000000e+00  0.00000000e+00 -1.64066132e+00 -1.74709912e+00  5.39015027e+01 -1.07984395e+01  3.25621766e-02  9.14160000e+01  2.32454225e-02  9.99865696e-01  2.49367199e+00  1.17643583e+08  3.86019385e+01
50000            -5.50819037e+00 -4.81705831e-02 -2.86130369e-02  0.00000000e+00  0.00000000e+00 -5.43140675e+00 -5.47215749e+00  4.18862214e+01 -3.08057798e+01  2.54773555e-02  7.11096000e+01  1.80817894e-02  9.99470788e-01  2.49174863e+00  1.17644140e+08  4.01491390e+01
60000            -5.62850925e+00 -1.18058058e-01 -2.06253354e-02  0.00000000e+00  0.00000000e+00 -5.48982586e+00 -5.66923574e+00  3.58731910e+01 -2.81224089e+01  2.13244912e-02  6.06558000e+01  1.54235391e-02  9.99482288e-01  2.49178542e+00  1.17644525e+08  4.10841481e+01
70000             1.12437099e+00 -2.05088940e-02 -1.72670082e-02  0.00000000e+00  0.00000000e+00  1.16214689e+00  1.04278008e+00  3.27544864e+01  4.34459753e+00  1.96117943e-02  5.54581000e+01  1.41018222e-02  1.00008828e+00  2.49477628e+00  1.17644924e+08  4.19298429e+01
80000            -4.84471647e+00 -1.39558111e-01 -1.17365228e-02  0.00000000e+00  0.00000000e+00 -4.69342184e+00 -4.64787059e+00  2.68463319e+01  1.26990760e+01  1.60944368e-02  4.56984000e+01  1.16201080e-02  1.00029359e+00  2.49577961e+00  1.17645217e+08  4.25657719e+01
90000            -7.35317404e-01  0.00000000e+00 -1.03905943e-02  0.00000000e+00  0.00000000e+00 -7.24926810e-01 -6.52898951e-01  2.51996362e+01  2.08480207e+00  1.52100959e-02  4.29451000e+01  1.09199898e-02  1.00005612e+00  2.49462483e+00  1.17645364e+08  4.29696023e+01
100000            1.71243301e-01  0.00000000e+00 -6.74959861e-03  0.00000000e+00  0.00000000e+00  1.77992899e-01  2.18014246e-01  2.03240259e+01 -9.58063648e-01  1.22866736e-02  3.46054000e+01  8.79939005e-03  9.99979451e-01  2.49422873e+00  1.17645334e+08  4.33649566e+01
