#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000             3.65991175e+05  2.28908670e+06 -1.50328625e+04  0.00000000e+00  0.00000000e+00 -1.90806267e+06 -1.72123970e+06  1.35039703e+05  4.24081949e+07  6.42049386e+04  8.99921000e+02  7.53693324e+02  5.04495767e+01  1.34468701e+02  3.62787536e+04 -6.14277066e+00
20000            -3.29034760e+06  4.51139478e+05 -1.34204314e+04  0.00000000e+00  0.00000000e+00 -3.72806664e+06 -3.46702204e+06  5.00942927e+04 -9.42206341e+05 -1.96300011e+02  8.69938100e+02  7.00135759e+02 -2.05685472e-01 -3.16386932e+01  3.71827713e+04  3.36133848e+01
30000            -3.66694695e+06  5.71954089e+05 -1.44185230e+04  0.00000000e+00  0.00000000e+00 -4.22448251e+06 -3.94924507e+06  4.20442040e+04 -8.97144278e+05 -1.26727619e+02  8.87108900e+02  7.37779554e+02 -1.25077263e-01 -3.45682173e+01  3.59720807e+04  3.67500988e+01
40000            -3.95463877e+06  6.42603611e+05 -1.54538110e+04  0.00000000e+00  0.00000000e+00 -4.58178856e+06 -4.29614859e+06  3.93242317e+04 -8.06885182e+05  1.40363539e+01  9.08584000e+02  7.72061896e+02  1.16840297e-02 -3.60791988e+01  3.52081117e+04  3.86019385e+01
50000            -4.21383015e+06  7.09396814e+05 -1.64110384e+04  0.00000000e+00  0.00000000e+00 -4.90681592e+06 -4.61116509e+06  3.65765029e+04 -8.55643082e+05 -2.69532474e+01  9.28890400e+02  8.01953618e+02 -2.52311854e-02 -3.77203829e+01  3.46514025e+04  4.01491390e+01
60000            -4.36507716e+06  7.42300780e+05 -1.69693276e+04  0.00000000e+00  0.00000000e+00 -5.09040861e+06 -4.78760703e+06  3.31660536e+04 -8.86502321e+05 -5.41182786e+01  9.39344200e+02  8.20075700e+02 -4.82297813e-02 -3.87127110e+01  3.42661531e+04  4.10841481e+01
70000            -4.48401503e+06  7.75573670e+05 -1.73602358e+04  0.00000000e+00  0.00000000e+00 -5.24222847e+06 -4.93389727e+06  2.94965782e+04 -8.40860625e+05  1.23515445e+01  9.44541900e+02  8.34339330e+02  1.08449911e-02 -3.94080580e+01  3.38670210e+04  4.19298429e+01
80000            -4.59956149e+06  7.91432605e+05 -1.78756484e+04  0.00000000e+00  0.00000000e+00 -5.37311845e+06 -5.06227938e+06  3.04797386e+04 -8.32947066e+05  3.81994958e+01  9.54301600e+02  8.50324111e+02  2.95819387e-02 -3.99962390e+01  3.35739241e+04  4.25657719e+01
90000            -4.66118776e+06  8.14999747e+05 -1.80573369e+04  0.00000000e+00  0.00000000e+00 -5.45813017e+06 -5.14656053e+06  3.07336002e+04 -8.96010545e+05 -4.64440159e+01  9.57054900e+02  8.56498298e+02 -4.08140065e-02 -4.05768135e+01  3.34274145e+04  4.29696023e+01
100000           -4.74906374e+06  8.49101459e+05 -1.83570307e+04  0.00000000e+00  0.00000000e+00 -5.57980817e+06 -5.26497899e+06  3.04570518e+04 -6.55036964e+05  2.95048090e+02  9.65394600e+02  8.63201748e+02  2.45702915e-01 -4.02578872e+01  3.34565802e+04  4.33649566e+01
