#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000            -6.05027490e+01 -4.32771788e+00 -8.35768256e-02  0.00000000e+00  0.00000000e+00 -5.60914543e+01 -5.63692527e+01  6.73982453e+01 -5.73722103e+01  3.75836141e-02  1.14060700e+02  2.90031910e-02  9.99321420e-01  2.49122517e+00  1.17645507e+08 -7.61077835e+00
20000            -5.64456841e+02 -4.11085237e+01 -1.41376767e-01  0.00000000e+00  0.00000000e+00 -5.23206941e+02 -5.21970788e+02  9.21064295e+01 -1.95346256e+03  5.54258771e-02  1.58620600e+02  4.03339749e-02  9.85813213e-01  2.42772691e+00  1.17644613e+08  3.40471967e+01
30000            -8.16396271e+02 -4.54842097e+01 -1.07902391e-01  0.00000000e+00  0.00000000e+00 -7.70804159e+02 -7.70917417e+02  8.17631690e+01 -3.15639661e+03  4.78786524e-02  1.38750800e+02  3.52812085e-02  9.75005391e-01  2.37977627e+00  1.17645543e+08  3.70625899e+01
40000            -1.33156534e+02 -9.49155425e+00 -8.79567264e-02  0.00000000e+00  0.00000000e+00 -1.23577023e+02 -1.24186536e+02  7.42950874e+01 -6.08873595e+02  4.41571312e-02  1.25216700e+02  3.18396207e-02  9.94795719e-01  2.47001052e+00  1.17646174e+08  3.87393364e+01
50000            -1.48728077e+01 -3.00760777e+00 -6.96407732e-02  0.00000000e+00  0.00000000e+00 -1.17955592e+01 -1.17534895e+01  6.54716760e+01 -1.47282847e+02  3.94083506e-02  1.11330000e+02  2.83084301e-02  9.98405181e-01  2.48725647e+00  1.17646735e+08  4.00686140e+01
60000            -2.71296067e+01 -4.07506797e+00 -5.29163982e-02  0.00000000e+00  0.00000000e+00 -2.30016223e+01 -2.29285697e+01  5.70803199e+01  1.85176660e+01  3.43331978e-02  9.71229000e+01  2.46958681e-02  1.00021143e+00  2.49534133e+00  1.17646979e+08  4.10837160e+01
70000            -1.02844212e+01 -8.20781672e-02 -3.89263082e-02  0.00000000e+00  0.00000000e+00 -1.01634167e+01 -9.81456951e+00  4.86271647e+01 -5.59008972e+01  2.96214544e-02  8.32268000e+01  2.11623910e-02  9.99235035e-01  2.49049530e+00  1.17647281e+08  4.17090085e+01
80000            -1.94803187e+00 -2.10115322e-03 -2.92875051e-02  0.00000000e+00  0.00000000e+00 -1.91664321e+00 -1.96062462e+00  4.25886067e+01 -9.14417686e+00  2.54153882e-02  7.22977000e+01  1.83833756e-02  9.99869144e-01  2.49371749e+00  1.17647483e+08  4.23652955e+01
90000            -6.15566144e+01 -3.10087798e+00 -2.68924359e-02  0.00000000e+00  0.00000000e+00 -5.84288440e+01 -5.82877723e+01  4.06216833e+01 -1.35080417e+02  2.43802363e-02  6.92697000e+01  1.76134068e-02  9.97796074e-01  2.48370559e+00  1.17647678e+08  4.27777551e+01
100000           -1.01004716e+02 -8.08287926e+00 -2.24405906e-02  0.00000000e+00  0.00000000e+00 -9.28993958e+01 -9.30003074e+01  3.73360576e+01 -4.28186538e+02  2.21178659e-02  6.32751000e+01  1.60891052e-02  9.92865786e-01  2.46277753e+00  1.17647952e+08  4.33229439e+01
