#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000            -4.68090041e+06  8.20244425e+05 -1.89923407e+04  0.00000000e+00  0.00000000e+00 -5.48215249e+06 -5.16907094e+06  2.35865037e+04 -7.75941641e+05  1.08594181e+02  9.41299400e+02  9.15933124e+02  8.39611862e-02 -4.11110060e+01  3.07441093e+04  4.38146893e+01
20000            -4.73715191e+06  8.41402618e+05 -1.91735816e+04  0.00000000e+00  0.00000000e+00 -5.55938094e+06 -5.24557707e+06  2.39144697e+04 -9.24147889e+05 -1.10390855e+02  9.44235700e+02  9.21802388e+02 -8.78486419e-02 -4.19291002e+01  3.06432517e+04  4.42058235e+01
30000            -4.78471945e+06  8.51738691e+05 -1.94321593e+04  0.00000000e+00  0.00000000e+00 -5.61702598e+06 -5.30077210e+06  2.37000351e+04 -7.15568739e+05  2.11167797e+02  9.50488600e+02  9.28089013e+02  1.63570921e-01 -4.14372911e+01  3.06370804e+04  4.43400981e+01
40000            -4.84102086e+06  8.61579962e+05 -1.95606068e+04  0.00000000e+00  0.00000000e+00 -5.68304021e+06 -5.36701557e+06  2.50541480e+04 -7.72463288e+05  1.29355034e+02  9.53633600e+02  9.31142125e+02  1.00054166e-01 -4.19564610e+01  3.06374053e+04  4.46955222e+01
50000            -4.86334589e+06  8.69416037e+05 -1.96057428e+04  0.00000000e+00  0.00000000e+00 -5.71315619e+06 -5.39632249e+06  2.42779953e+04 -8.09087441e+05  7.60428485e+01  9.53728700e+02  9.33199718e+02  5.73036104e-02 -4.22653494e+01  3.05731177e+04  4.43226586e+01
60000            -4.89183714e+06  8.65104695e+05 -1.98116961e+04  0.00000000e+00  0.00000000e+00 -5.73713014e+06 -5.41884422e+06  2.42993429e+04 -9.43785802e+05 -1.22448097e+02  9.57845500e+02  9.38943542e+02 -9.50386756e-02 -4.26826749e+01  3.05173876e+04  4.41598024e+01
70000            -4.96759312e+06  8.96722482e+05 -2.01484116e+04  0.00000000e+00  0.00000000e+00 -5.84416719e+06 -5.52446150e+06  2.43522305e+04 -8.42679535e+05  3.62340190e+01  9.61964500e+02  9.50818427e+02  2.67874983e-02 -4.28395221e+01  3.02656228e+04  4.53093534e+01
80000            -4.96501682e+06  9.00052957e+05 -2.01422874e+04  0.00000000e+00  0.00000000e+00 -5.84492749e+06 -5.52557474e+06  2.43588215e+04 -7.91968447e+05  1.12932578e+02  9.60998200e+02  9.51482949e+02  8.43844104e-02 -4.27627093e+01  3.02141652e+04  4.54690793e+01
90000            -4.96370504e+06  8.90634487e+05 -2.02530436e+04  0.00000000e+00  0.00000000e+00 -5.83408648e+06 -5.51440612e+06  2.47630135e+04 -7.42355602e+05  1.90278468e+02  9.63048400e+02  9.54681340e+02  1.43533344e-01 -4.24734329e+01  3.01770256e+04  4.53272338e+01
100000           -4.99103449e+06  8.97208796e+05 -2.03568907e+04  0.00000000e+00  0.00000000e+00 -5.86788639e+06 -5.54635943e+06  2.36668740e+04 -8.34176216e+05  5.37125443e+01  9.65147800e+02  9.57488473e+02  3.94479866e-02 -4.29087242e+01  3.01541819e+04  4.55017297e+01
