#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000            -1.32550275e+06  5.46015119e+05 -9.21774129e+03  0.00000000e+00  0.00000000e+00 -1.86230013e+06 -1.68248860e+06  1.33000451e+05  9.33794157e+06  9.76006439e+03  8.74623900e+02  4.77987509e+02  6.75857844e+00  2.40362312e+01  5.48449800e+04  6.08502868e+00
20000            -2.27111887e+06  2.36496209e+05 -8.42461414e+03  0.00000000e+00  0.00000000e+00 -2.49919047e+06 -2.28279902e+06  8.68800274e+04 -1.53936375e+06 -7.94971779e+00  8.47933600e+02  4.51015533e+02 -6.87854206e-03 -2.22385805e+01  5.62440175e+04  1.33725255e+01
30000            -2.39783274e+06  2.91133053e+05 -8.46496083e+03  0.00000000e+00  0.00000000e+00 -2.68050083e+06 -2.46317391e+06  8.42794089e+04 -1.44753472e+06  5.80356745e+01  8.43265100e+02  4.55685217e+02  4.50125181e-02 -2.33982755e+01  5.53622474e+04  1.42675595e+01
40000            -2.52575659e+06  3.33262891e+05 -8.77918844e+03  0.00000000e+00  0.00000000e+00 -2.85024030e+06 -2.62258316e+06  8.12874475e+04 -1.50001175e+06  4.43468969e+01  8.63779700e+02  4.61375174e+02  3.34581918e-02 -2.41132734e+01  5.60097638e+04  1.41501142e+01
50000            -2.59498895e+06  3.57592950e+05 -8.80229191e+03  0.00000000e+00  0.00000000e+00 -2.94377961e+06 -2.71766492e+06  8.27430254e+04 -1.34214779e+06  1.77370002e+02  8.63537300e+02  4.62711313e+02  1.37566027e-01 -2.42910146e+01  5.58305911e+04  1.43086353e+01
60000            -2.58957348e+06  3.53133058e+05 -8.55948060e+03  0.00000000e+00  0.00000000e+00 -2.93414706e+06 -2.71279520e+06  8.43333628e+04 -1.47079859e+06  5.78314036e+01  8.54675500e+02  4.54575322e+02  4.52892427e-02 -2.49348048e+01  5.62511893e+04  1.37545710e+01
70000            -2.53825878e+06  3.37106344e+05 -8.14768767e+03  0.00000000e+00  0.00000000e+00 -2.86721743e+06 -2.65065817e+06  8.62204049e+04 -1.59341593e+06 -5.35925641e+01  8.46564600e+02  4.36917124e+02 -4.60417692e-02 -2.52084567e+01  5.79710025e+04  1.30339104e+01
80000            -2.55688555e+06  3.52761597e+05 -8.30120084e+03  0.00000000e+00  0.00000000e+00 -2.90134594e+06 -2.67879156e+06  8.31232596e+04 -1.41318575e+06  1.01492904e+02  8.54669900e+02  4.40906850e+02  8.11889483e-02 -2.44655588e+01  5.79923773e+04  1.37948052e+01
90000            -2.54193594e+06  3.40791018e+05 -8.23724309e+03  0.00000000e+00  0.00000000e+00 -2.87448971e+06 -2.64825412e+06  7.80818578e+04 -1.43757290e+06  7.60828843e+01  8.50859000e+02  4.39479254e+02  6.16779399e-02 -2.45114129e+01  5.79189906e+04  1.33262496e+01
100000           -2.53197893e+06  3.49789978e+05 -8.14747758e+03  0.00000000e+00  0.00000000e+00 -2.87362143e+06 -2.65026040e+06  7.89800328e+04 -1.33308624e+06  1.52797765e+02  8.45332300e+02  4.37515831e+02  1.25056223e-01 -2.42587478e+01  5.78009555e+04  1.20069206e+01
